,officer,date,age,weapon,outcome,assignment,latlng,id
136,Phillip Marquez,1997-01-03,22,"(2, '')",2,Century,"(33.9130577, -118.2015544)",SH1139436
137,Keith Wall,1997-01-25,21,"(1, 'Gun')",0,Industry,"(34.053813, -117.9611779)",SH1141025
138,Millette,1997-02-18,Unknown,"(1, 'Gun')",0,Century,"(33.9609867, -118.2418082)",SH1076024
139,Unknown,1997-03-08,35,"(1, 'Knife')",1,Lancaster,"(34.5823792, -118.1372255)",SH1025440
140,Aaron Maready,1997-03-21,34,"(0, '')",1,Century Station COPS team,"(33.9301812, -118.2109489)",SH1033665
141,Richard Pfeiffer,1997-04-24,Unknown,"(1, 'Gun')",2,"Century Station Detective Bureau, Auto Theft Detail","(33.9577979, -118.2311036)",SH1053766
142,Frank Jinright,1997-05-14,42,"(1, 'Gun')",2,Lancaster,"(34.6921938, -118.1053389)",SH1072778
143,Clarence G. Gallegos,1997-06-11,39,"(1, 'Gun')",1,Pico Rivera,"(33.9747789, -118.1128033)",SH1084850
144,Richard Engles,1997-06-27,Unknown,"(1, 'Gun')",1,Lancaster - Resident Deputy. Little Rock,"(34.5137767, -117.9924726)",SH1094942
145,Joseph McCleary,1997-07-07,38,"(1, 'Knife')",1,East Los Angeles,"(34.0014517, -118.1631332)",SH1100855
146,Jonathan Aujay,1997-07-22,30,"(1, 'Gun')",1,Lancaster K-9 Unit,"(34.0228346, -118.4101729)",SH1108529
147,John Donaldson,1997-07-27,32,"(1, 'Knife')",1,Temple,"(33.7474691, -118.3738737)",SH1110967
148,Corey Fletcher,1997-09-03,26,"(1, 'Gun')",1,Lakewood,"(33.8757286, -118.0805664)",SH1132696
149,Ralph Ruedas,1997-09-11,29,"(1, 'Gun')",2,Pico Rivera - Safe Streets Bureau,"(33.9615417, -118.1109402)",SH1138000
150,Jenny Bethune,1997-11-16,28,"(1, 'Gun')",2,Century,"(33.7793128, -118.1486274)",SH1172598
151,Sean Van Leeuwen,1997-12-09,18,"(1, 'Gun')",2,East Los Angeles Station,"(34.045915, -118.1823226)",SH1184392
152,Sean Van Leeuwen,1997-12-09,18,"(1, 'Gun')",0,East Los Angeles Station,"(34.045915, -118.1823226)",SH1184392
153,John Hocking,1997-12-11,20,"(1, 'Gun')",0,Carson,"(33.8465914, -118.2237867)",SH1185629
154,Michael Winter,1997-12-25,Unknown,"(1, 'Gun')",2,Century,"(34.0919665, -118.3024909)",SH1188991
155,Curt Messerschmidt,1998-03-27,39,"(1, 'Gun')",1,Lennox,"(34.3871821, -118.1122679)",SH1203201
156,Robert Farkas,1998-04-25,32,"(1, 'Gun')",1,Palmdale,,SH1208071
157,Matthew C. Rodriguez,1998-05-26,Unknown,"(0, '')",2,Recruit Training Bureau,,SH1211915
158,Mark Kocisko,1998-06-14,19,"(0, '')",0,Century,"(33.9124647, -118.1952023)",SH1214373
159,Hector Velasquez,1998-07-09,24,"(1, 'Gun')",0,Industry - Roving G.E.T. Team,"(34.0123285, -117.9087728)",SH1218403
160,Unknown,1998-08-31,32,"(1, 'Gun')",2,Century,"(33.9147975, -118.2091548)",SH1225031
161,William Wicker,1998-09-08,19,"(0, '')",0,Century - COPS Team,"(33.9235262, -118.2052303)",SH1226479
162,William Wicker,1998-09-08,Unknown,"(1, 'Gun')",2,Century - COPS Team,"(33.9235262, -118.2052303)",SH1226479
163,Timothy Phillips,1998-10-04,15,"(0, '')",0,East Los Angeles,"(34.014819, -118.1629994)",SH1229491
164,Timothy Phillips,1998-10-04,16,"(1, 'Gun')",0,East Los Angeles,"(34.014819, -118.1629994)",SH1229491
165,Javier Valencia,1998-10-27,19,"(0, '')",0,Century,"(33.9723046, -118.2519094)",SH1232466
166,Javier Valencia,1998-10-27,29,"(1, 'Gun')",0,Century,"(33.9723046, -118.2519094)",SH1232466
167,Jeffrey Coates,1998-11-20,18,"(1, 'Gun')",1,Lennox,"(33.9309143, -118.2979)",SH1235781
168,Martin Klaus,1998-11-24,31,"(0, '')",1,Lakewood,"(34.3871821, -118.1122679)",SH1236001
169,Michael Voge,1998-11-25,35,"(1, 'Gun')",1,Lancaster - Gang Unit,"(34.6749512, -118.1523958)",SH1236071
170,Mario Castro,1998-11-27,18,"(1, 'Gun')",0,East Los Angeles,"(34.011363, -118.1604956)",SH1236005
171,Alfonso Garcia,1999-01-10,16,"(0, '')",1,Century,"(33.9217052, -118.2013923)",SH1240801
172,Sean C. Hoodye,1999-01-16,19,"(1, 'Gun')",1,Lennox,"(33.95793020000001, -118.2918057)",SH1241435
173,Kenneth Scheum,1999-01-16,48,"(1, 'scissors')",1,Lost Hills,"(33.7894857, -118.3112456)",SH1241431
174,Robert Knudson,1999-02-09,32,"(0, '')",2,West Hollywood - Narcotics Bureau,"(34.1678639, -118.584778)",SH1244281
175,William Farrell,1999-02-18,25,"(1, 'Gun')",2,Carson,"(33.7649231, -118.3010184)",SH1245301
176,John Guerrero,1999-02-23,35,"(1, 'Knife')",1,East Los Angeles,"(34.0215966, -118.1517073)",SH1246521
177,Morrie Zager,1999-04-21,26,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0387536, -118.0823213)",SH1251919
178,Michael Wilber,1999-06-29,32,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0089242, -118.2228687)",SH1259831
179,Partick Nelson,1999-06-30,42,"(1, 'Gun')",0,Lancaster - Narcotics,"(34.6106352, -118.2477453)",SH1260001
180,Kenneth R. Fontanilla,1999-07-10,23,"(1, 'Gun')",2,Lennox,"(33.945391, -118.3591412)",SH1260541
181,Michael Joyce,1999-07-18,20,"(1, 'Gun')",2,Lakewood,"(33.8789068, -118.0769856)",SH1261521
