,officer,date,age,weapon,outcome,assignment,latlng,id
687,Lawrence Swanson,2015-03-25,28,"(1, 'Gun')",1,South Los Angeles,"(33.9436174, -118.2913898)",SH2376887
688,Jay Brown,2015-04-10,38,"(0, '')",2,Century,"(33.9556208, -118.2329304)",SH2377694
689,Joseph Nunez,2015-05-05,32,"(1, 'Meat Cleaver')",1,Temple,"(34.0532606, -118.0437525)",SH2378885
690,Edward Fitzgerald,2015-05-07,22,"(0, '')",1,Cerritos,"(33.8758062, -118.0504507)",SH2379076
691,Randolph Springer,2015-06-01,52,"(1, 'Pellet Gun')",2,Transit Services Bureau - North,"(34.1862367, -118.4884996)",SH2380778
692,Gilbert Lozano,2015-06-04,32,"(1, 'Gun')",2,San Dimas,"(34.1288571, -117.8901702)",SH2380533
693,Mizrain Orrego,2015-06-27,18,"(1, 'Gun')",0,Compton,"(33.8882544, -118.2458084)",SH2381667
694,Daniel Welle,2015-07-03,46,"(1, '')",1,Operation Safe Streets,"(34.6704221, -118.1851177)",SH2381947
695,Karlos Milan,2015-07-05,42,"(0, '')",1,Lakewood,"(33.8332838, -118.0720472)",SH2382214
696,Anthony Johnson,2015-07-06,31,"(0, '')",1,Lakewood,"(33.8565332, -118.1237725)",SH2382110
697,Jeffrey Johnsen,2015-07-10,48,"(1, 'Gun')",2,Temple,"(34.1384642, -118.0813135)",SH2382540
698,Steven Huerta,2015-07-29,47,"(1, 'Metal broom handle')",1,Pico Rivera,"(33.9722633, -118.0551494)",SH2386874
699,Unknown,2015-07-31,18,"(1, 'Gun')",0,Compton,"(33.89195, -118.2362157)",SH2383665
700,Unknown,2015-07-31,19,"(0, '')",0,Compton,"(33.89195, -118.2362157)",SH2383665
701,Kamal Ahmad,2015-09-10,41,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.9548395, -118.1137766)",SH2386375
702,Arthur Perez,2015-09-24,45,"(1, 'Gun')",0,Operation Safe Streets Bureau,"(33.9093574, -118.1163387)",SH2387075
703,Dru Strong,2015-09-28,38,"(1, 'Gun')",2,Compton,"(33.8900516, -118.1929967)",SH2387545
704,Brady Kline,2015-10-02,41,"(1, 'Gun')",2,Industry,"(34.0303218, -118.0070809)",SH2387539
705,Brian Richards,2015-10-16,25,"(0, '')",1,Industry,"(34.0312098, -117.9160944)",SH2388439
706,Robert Maas,2015-10-20,53,"(0, '')",1,South Los Angeles,"(33.93483459999999, -118.2811316)",SH2388831
707,Adam Navarrette,2015-11-24,28,"(1, 'Gun')",0,Operations Safe Streets Bureau - Gang Surveillance Unit,"(34.0399401, -118.0828234)",SH2390859
708,Steven Velasquez,2015-12-01,18,"(1, 'Gun')",0,Operation Safe Streets Bureau,"(33.9170356, -118.0817528)",SH2390966
709,Steven Velasquez,2015-12-01,18,"(1, 'Gun')",1,Operation Safe Streets Bureau,"(33.9170356, -118.0817528)",SH2390966
710,Richard Ochoa-Garcia,2015-12-12,28,"(1, 'Gun')",1,Century,"(33.917216, -118.2097506)",SH2391485
711,Brett Nolin,2015-12-20,30,"(1, '')",1,Palmdale,"(34.5713298, -118.0445866)",SH2391928
712,Omar Covarrubias,2016-01-01,31,"(1, 'Gun')",2,Compton,"(33.8865236, -118.262054)",SH2393052
713,Christopher Keeling,2016-01-12,21,"(1, 'Airsoft gun')",2,Operation Safe Streets Bureau,"(34.7056089, -118.150106)",SH2393284
714,Nathan Gillespie,2016-01-14,39,"(1, 'Switchblade')",1,Santa Clarita Valley,"(34.4195922, -118.4599337)",SH2393517
715,Adam Navarrette,2016-02-10,35,"(1, 'Gun')",0,Operation Safe Streets Bureau - Gang Surveillance Unit,"(33.8905585, -118.2042309)",SH2395478
716,Arnold Camacho,2016-02-11,45,"(1, 'Axe')",1,Lancaster,"(34.6820368, -118.079746)",SH2395381
717,Andrew Alatorre,2016-02-14,24,"(0, '')",1,East Los Angeles,"(34.0215441, -118.1636107)",SH2395472
718,Curtis Brown,2016-02-20,34,"(0, '')",2,Operation Safe Streets - Lakewood,"(33.8939091, -118.1750984)",SH2396335
719,Curtis Brown,2016-02-20,30,"(0, '')",2,Operation Safe Streets - Lakewood,"(33.8939091, -118.1750984)",SH2396335
720,Luke Lui,2016-02-24,26,"(0, '')",1,Cerritos,"(33.88705059999999, -118.1004354)",SH2396488
721,Unknown,2016-03-04,24,"(1, 'Gun')",2,South Los Angeles,"(33.9447021, -118.3523585)",SH2397208
722,Brad Witkosky,2016-03-05,29,"(0, '')",2,South Los Angeles,"(33.92346730000001, -118.2892798)",SH2397223
723,Jay Brown,2016-03-16,23,"(0, '')",1,Century,"(33.9810723, -118.241561)",SH2398032
724,Ervin Francois,2016-03-30,33,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0123869, -118.127007)",SH2399501
725,Eric Chinaerian,2016-06-11,31,"(1, 'Homemade spear')",1,East Los Angeles,"(33.9944587, -118.1932718)",SH2405395
726,Christopher Aliende,2016-06-23,39,"(1, 'Gun')",0,Lakewood - DUI Checkpoint,"(33.883738, -118.141026)",SH2406271
727,James Ponsford,2016-07-28,27,"(0, '')",1,Special Enforcement Bureau,"(33.9090423, -118.2391811)",SH2408614
728,Jeffrey Brito,2016-08-02,51,"(0, '')",1,Santa Clarita Valley,"(34.4925054, -118.6182288)",SH2408949
729,Ruben Quintero,2016-08-07,23,"(0, '')",2,Special Enforcement Bureau,"(33.9428423, -118.3611218)",SH2409314
730,Arin Davidian,2016-08-17,55,"(1, 'Folding knife')",2,Transit Services Bureau - North,"(34.22122969999999, -118.4292234)",SH2410098
731,Samuel Aldama,2016-08-25,31,"(0, '')",1,Compton,"(33.899208, -118.2399761)",SH2410691
732,Richard Ochoa-Garcia,2016-09-01,23,"(1, 'Gun')",1,Century,"(33.9624998, -118.2431283)",SH2411259
733,Justin Smith,2016-09-08,30,"(1, 'Gun')",2,Lomita,"(33.78954970000001, -118.3254232)",SH2411882
734,Vincent Cisneros,2016-10-04,33,"(1, 'Knives')",2,Transit Services Bureau - South,"(34.0140235, -118.4913573)",SH2413687
735,Zachary Anderson,2016-10-06,29,"(1, 'Gun')",2,Lancaster,"(34.6844259, -118.1914156)",SH2413823
736,David Pantoja,2016-10-07,24,"(1, 'Gun')",1,Norwalk,"(33.9257124, -118.1073516)",SH2413839
737,Rizaldy Reantaso,2016-10-31,55,"(1, 'Knife')",1,Chatsworth Court,"(34.2453807, -118.5696032)",SH2415580
738,Casey Cheshier,2016-11-22,45,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.9086534, -117.9771746)",SH2416630
739,Antonio Chavez,2016-12-01,32,"(0, '')",2,Lakewood,"(33.8971735, -118.1796974)",SH2510487
740,Jason Leach,2016-12-12,25,"(1, 'Gun')",2,South Los Angeles,"(33.9579229, -118.2959125)",SH2417768
741,Ernesto Magana,2016-12-15,60,"(1, 'Gun')",1,Industry,"(33.9789661, -117.9760915)",SH2418067
742,Miguel Ortiz,2016-12-17,33,"(1, 'Gun')",1,East Los Angeles,"(34.0215442, -118.1626316)",SH2418104
743,Jose Hernandez,2016-12-24,48,"(1, '')",1,Pico Rivera,"(34.0183682, -118.0634902)",SH2418523
744,Guillermo Anaya,2016-12-27,21,"(0, '')",0,Compton,"(33.8961155, -118.2331077)",SH2418661
745,Joshua Ramirez,2017-01-09,18,"(1, 'Gun')",0,Men's Central Jail - Off duty,"(34.3871821, -118.1122679)",SH2419182
746,Joshua Ramirez,2017-01-09,18,"(0, '')",2,Men's Central Jail - Off duty,"(34.3871821, -118.1122679)",SH2419182
747,"Eric Valdez Banditos, tattooed member",2017-01-21,39,"(1, 'Gun')",0,East Los Angeles,"(34.024073, -118.1573332)",SH2420112
748,Jorge Perez,2017-02-13,24,"(1, 'Gun')",2,Transit Services Bureau,"(34.2040125, -118.4483226)",SH2421808
749,Ryan Imaizumi,2017-03-07,41,"(1, 'Hair clippers')",1,Marina Del Rey,"(33.9879041, -118.3667883)",SH2423038
750,Matthew Landreth,2017-03-14,22,"(1, 'Gun')",2,Operation Safe Streets Bureau - Gang Surveillance Unit Team,"(33.9588047, -118.0507362)",SH2423578
751,Nathan Botten,2017-03-20,21,"(1, 'Gun')",1,Temple,"(34.1029991, -118.0758684)",SH2423868
752,Shawn Merrick,2017-04-09,29,"(0, '')",0,Industry,"(34.3871821, -118.1122679)",SH2425038
753,Shawn Merrick,2017-04-09,27,"(1, 'Gun')",0,Industry,"(34.3871821, -118.1122679)",SH2425038
754,Shane Lattuca,2017-04-12,28,"(1, 'Gun')",1,Century,"(33.9545238, -118.246732)",SH2425342
755,Miguel Garcia,2017-05-25,25,"(1, 'Gun')",1,Compton,"(33.9026442, -118.2165471)",SH2428248
756,James Dillard,2017-06-22,17,"(0, '')",1,Palmdale,"(34.5816243, -118.1116424)",J.S.I.D. File #17-0324
757,Luis Monreal,2017-06-26,61,"(0, '')",0,Pico Rivera,"(33.9909681, -118.0899955)",SH2430280
758,Murray Jacob,2017-07-04,31,"(1, 'Folding knife')",2,Palmdale,"(34.5774466, -118.0984249)",SH2431214
759,Jesus Jimenes Jr.,2017-07-22,45,"(1, 'Replica gun')",0,Century,"(33.9339574, -118.1823619)",SH2431912
760,Ryan Rothrock,2017-08-16,34,"(1, 'Gun')",1,Century - Summer Violent Crime Enforcement Team,"(33.9310253, -118.2477881)",SH2434406
761,Joseph Mendoza,2017-09-08,52,"(1, 'Gun')",0,Industry,"(34.0223958, -117.9119712)",SH2435366
762,Benny Khounthavong,2017-09-11,39,"(1, 'Pellet guns')",1,Industry,"(34.0626161, -117.9768534)",SH2435972
763,Charles Moylan,2017-10-31,33,"(1, 'Mop handle')",2,County Services Bureau,"(34.2209973, -118.5186351)",SH2439345
764,Juan P. Rodriguez,2017-11-02,20,"(0, '')",1,Special Enforcement Bureau,"(33.9102245, -118.2336242)",SH2439504
765,David Pantoja,2017-11-20,20,"(1, 'Gun')",0,Norwalk - Enforcement Team,"(33.8803905, -118.0797627)",SH2440728
766,Albert S. White,2017-11-28,29,"(1, 'Gun')",2,Santa Clarita Valley,"(34.3760652, -118.5090542)",SH2441479
767,Nicholas Alerich,2017-12-06,28,"(0, '')",0,Century,"(33.9364755, -118.265182)",SH2442200
768,Christopher Cadman,2017-12-10,48,"(1, '')",1,Lakewood,"(33.8638835, -118.0724204)",SH2442509
769,Jose Morales,2018-01-06,26,"(1, 'Gun')",2,Compton,"(33.8854654, -118.2058806)",SH2445343
770,Gregory Van Hoesen,2018-02-04,16,"(0, '')",1,South Los Angeles,"(33.9384838, -118.2967457)",SH2447484
771,Elsa Buonarigo,2018-02-05,21,"(0, '')",2,Lakewood,"(33.873172, -118.0726335)",SH2447480
772,Christopher Gonzalez,2018-02-06,37,"(0, '')",1,East Los Angeles,"(34.0336286, -118.1564733)",SH2447621
773,Todd A Campbell,2018-03-06,19,"(0, '')",2,Twin Towers Correctional Facility - off duty,"(34.3871821, -118.1122679)",SH2450197
774,Bradley Dietze,2018-03-18,40,"(1, 'Knife')",1,Temple,"(34.0337039, -118.0475706)",SH2450947
775,John Rogart,2018-04-04,42,"(1, 'Kitchen knife')",2,Parks Bureau,"(34.0200036, -118.142421)",SH2452326
776,Brandon Barr,2018-05-08,21,"(1, 'Pellet Gun')",2,Temple,"(34.0613445, -118.0527997)",SH2455168
777,Timothy Lovitt,2018-06-28,55,"(1, 'Knife')",2,Temple,"(34.0595733, -118.0642515)",SH2458357
778,Michael Stephenson,2018-07-19,25,"(1, 'Gun')",1,Pico Rivera,"(33.9727705, -118.0863938)",SH2460275
779,Roberto Solorio,2018-08-10,28,"(1, 'Taser')",2,Lakewood,"(33.8514174, -118.1331004)",SH2461587
780,Jonathan Rojas,2018-08-12,21,"(0, '')",1,East Los Angeles,"(34.3871821, -118.1122679)",SH2461585
781,Unknown,2018-08-17,28,"(0, '')",0,Compton,"(33.9017988, -118.2000489)",SH2462080
782,Unknown,2018-08-17,22,"(0, '')",0,Compton,"(33.9017988, -118.2000489)",SH2462080
783,Joshua Smilor,2018-08-17,28,"(1, 'Gun')",1,South Los Angeles,"(33.9381994, -118.3569887)",SH2461902
784,Sergio Trejo,2018-09-19,18,"(0, '')",1,East Los Angeles,"(34.0235555, -118.1900207)",SH2464820
785,Sergio Trejo,2018-09-19,18,"(0, '')",0,East Los Angeles,"(34.0235555, -118.1900207)",SH2464820
786,Sergio Trejo,2018-09-19,39,"(1, 'Gun')",1,East Los Angeles,"(34.0235555, -118.1900207)",SH2464820
787,Jesus Sandoval,2018-09-24,18,"(1, 'Gun')",2,Compton,"(33.902579, -118.2362764)",SH2465543
788,John Strosnider,2018-09-24,42,"(1, 'Gun')",1,East Los Angeles Station,"(34.0503079, -118.1870746)",SH2464907
789,Francisco Quinones-Medina,2018-10-07,36,"(1, 'Knife')",2,Compton,"(33.9105796, -118.2094867)",SH2465847
790,Luis Cano,2018-10-27,20,"(1, 'Gun')",2,South Los Angeles,"(34.3871821, -118.1122679)",SH2467502
791,Clarence McZeal,2018-11-01,30,"(0, '')",2,Industry,"(34.026785, -118.0352069)",SH2467505
792,Parker Driscoll,2018-11-25,21,"(1, 'Folding knife')",2,Lancaster,"(34.6848354, -118.192542)",SH2469350
793,Anthony Delia,2019-02-17,32,"(1, 'Knife')",2,Lancaster,"(34.6963615, -118.137188)",19-03454-11
794,Jonathan Cufley,2019-03-14,24,"(0, '')",2,Century,"(33.9702775, -118.2226663)",SH2478178
795,Ronald Barrientos,2019-03-16,41,"(1, 'Bicycle part')",1,Palmdale,"(34.5629868, -118.0568892)",SH2485801
796,Eric Moreno,2019-03-31,17,"(0, '')",2,Special Enforcement Bureau,"(33.8883288, -118.2345589)",SH2479783
797,Eric Moreno,2019-03-31,19,"(1, 'Gun')",2,Special Enforcement Bureau,"(33.8883288, -118.2345589)",SH2479783
798,Art Hernandez,2019-05-10,24,"(1, 'Gun')",1,East Los Angeles,"(34.0086917, -118.2049338)",19-00046-31
799,Art Hernandez,2019-05-10,27,"(0, '')",2,East Los Angeles,"(34.0086917, -118.2049338)",19-00046-31
800,Jonathan Charrette,2019-05-10,37,"(0, '')",2,East Los Angeles,"(34.0086917, -118.2049338)",19-00046-31
801,Edgar Cuevas,2019-05-12,28,"(1, 'Gun')",0,Compton,"(33.9067911, -118.2070953)",SH2483294
802,Brian Ciscel,2019-05-21,44,"(1, 'Hammer')",1,Century,"(33.9307461, -118.1978187)",19-07931-21
803,Andrew Lyons,2019-06-06,24,"(0, '')",1,Century,"(33.9137373, -118.2698878)",19-08973-21
804,Michael Lee,2019-06-06,27,"(1, 'Gun')",1,South Los Angeles,"(33.9309648, -118.337472)",SH2485799
805,Grant Roth,2019-06-06,35,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.1927027, -118.3371348)",SH2485902
806,Zachary Marshall,2019-06-14,35,"(1, 'BB Gun')",2,Palmdale,"(34.5036784, -117.893287)",SH2486168
807,Timothy Cho,2019-06-18,26,"(1, 'Gun')",2,Carson,"(33.8313093, -118.3040248)",SH2493251
808,Timothy Cho,2019-06-18,27,"(0, '')",2,Carson,"(33.8313093, -118.3040248)",SH2493251
809,Hector  Saavedra,2019-06-27,18,"(0, '')",1,East Los Angeles,"(34.0298052, -118.1436737)",SH2487204
810,Edwin Barajas,2019-07-03,28,"(1, 'Gun')",0,Compton,"(33.92463430000001, -118.2390083)",SH2487616
811,Ian Walker,2019-07-26,32,"(1, 'Knives and champagne bottle')",2,Lost Hills,"(34.0097516, -118.7993569)",SH2489851
812,Gregory Van Hoesen,2019-08-01,21,"(1, 'Gun')",1,South Los Angeles,"(33.9752629, -118.3340834)",SH2490361
813,Andrew Makins,2019-08-02,25,"(0, '')",2,Lakewood,"(33.91456400000001, -118.1688809)",SH2490169
814,Luis Carbajal,2019-09-02,20,"(0, '')",2,East Los Angeles,"(34.0268302, -118.1729599)",SH2492655
815,Luis Carbajal,2019-09-02,24,"(0, '')",2,East Los Angeles,"(34.0268302, -118.1729599)",SH2492655
816,Michael Miller,2019-09-12,35,"(1, 'piece of wood')",1,Santa Clarita Valley Station,"(34.4319893, -118.5879439)",SH2493696
817,Vincent Cisneros,2019-10-07,37,"(0, '')",1,Pico Rivera Station,"(33.9689656, -118.0733922)",SH2495363
818,Unknown,2019-10-23,29,"(1, 'Gun')",0,Operation Safe Streets Bureau,"(34.573708, -118.0844271)",SH2496380
819,Juan Bonilla,2019-10-24,26,"(1, 'Gun')",2,West Hollywood,"(34.1312584, -118.3856752)",SH2496704
820,Jonathan Lee,2019-10-30,62,"(1, 'Axe')",1,Lancaster,"(34.6686882, -118.0750143)",SH2502967
821,Dwight Aguayo,2019-11-13,37,"(1, 'Sword')",1,East Los Angeles,"(34.040907, -118.1762872)",19-15834-02
822,Juan Sanchez,2019-11-25,32,"(1, 'Gun')",2,East Los Angeles,"(34.0082446, -118.0998536)",SH2498761
823,Kevin Thompson,2019-12-16,25,"(1, 'Gun')",1,East Los Angeles,"(34.0322678, -118.1874218)",19-17470-02
824,Tarek Salah,2020-03-01,32,"(1, 'Replica gun')",1,Santa Clarita,"(34.4158374, -118.5513449)",SH2504902
825,Jonathon Livingston,2020-03-05,31,"(1, 'Gun')",0,Palmdale,"(34.2009763, -118.1884208)",20-03610-26
826,Collin Reddy,2020-03-05,38,"(1, 'Gun ')",2,Palmdale,"(34.2009763, -118.1884208)",20-03610-26
827,Brittany Page,2020-04-03,38,"(1, 'Hammer')",2,Court Services Bureau North - Van Nuys,"(34.1832549, -118.4469684)",20-00155-44
828,Vincent Fratianne,2020-04-19,36,"(0, '')",1,Lancaster Station,"(34.7046696, -118.1492055)",SH2507873
829,David Rodriguez,2020-05-26,18,"(1, 'Gun')",1,Operation Safe Streets Bureau,"(33.9366161, -118.2959238)",SH2510292
830,Nicholas Hernandez,2020-05-29,39,"(1, 'Replica gun')",1,Lancaster,"(34.6743902, -118.162589)",20-09658-11
831,Nicholas Carey,2020-05-30,37,"(1, 'Gun')",2,Century,"(33.930592, -118.2159887)",20-07905-21
832,Carlos Jover,2020-06-07,35,"(1, 'Knife')",1,Industry,"(34.001926, -117.92801)",SH2511293
833,Ty Shelton,2020-06-11,61,"(0, '')",1,Lancaster,"(34.7077311, -118.1418537)",SH2511478
834,Joshua Mejia,2020-06-12,38,"(1, 'Gun')",2,Palmdale,"(34.5790211, -118.0919785)",SH2511304
835,Joshua Mejia,2020-06-12,19,"(1, 'Gun')",0,Palmdale,"(34.5790211, -118.0919785)",SH2511304
836,Joshua Mejia,2020-06-12,26,"(1, 'Gun')",1,Palmdale,"(34.5790211, -118.0919785)",SH2511304
837,Unknown,2020-06-17,26,"(1, 'Gun')",1,Major Crimes Bureau,"(34.6691956, -118.1567973)",20-10705-11
838,Miguel Vega,2020-06-18,18,"(1, 'Gun ')",1,Compton,"(33.8923422, -118.2815885)",20-07557-28
839,Jonathan Alvarez,2020-06-28,31,"(0, '')",2,Transit Services Bureau,"(33.8856649, -118.3247796)",SH2512392
840,Tanner Harris,2020-07-30,56,"(0, '')",2,Lancaster,"(34.6977576, -118.1046587)",20-13251-11
841,Adam Nelson,2020-08-07,22,"(1, 'Gun')",2,Industry,"(34.0313894, -118.0083145)",20-07771-14
842,Daniel Saldivar,2020-08-22,27,"(0, '')",0,East Los Angeles,"(34.0133912, -118.1685596)",SH2516197
843,Cristian Morales,2020-08-31,29,"(0, '')",1,South Los Angeles,"(33.9366536, -118.297083)",20-07618-03
844,Adonay Molina,2020-09-10,25,"(1, '')",1,Operation Safe Streets Bureau,"(33.89170319999999, -118.2030665)",20-11174-28
845,Raymond Chavez,2020-09-23,23,"(1, 'Folding knife')",2,Court Services Bureau,"(33.9754358, -118.0326913)",SH2517670
846,Sergio Patino,2020-09-24,22,"(1, 'Gun')",2,East Los Angeles,"(34.0359226, -118.3669335)",SH2517827
847,Sergio Patino,2020-09-24,22,"(1, 'Gun')",2,East Los Angeles,"(34.0359226, -118.3669335)",SH2517827
848,Tarsicio De La Torre,2020-10-06,34,"(1, 'Glass jar')",2,Lakewood,"(33.903186, -118.1701429)",20-19024-13
849,Dalia Gonzalez,2020-10-06,38,"(1, 'Medical device')",1,South Los Angeles,"(33.8302832, -118.2919779)",20-01613-85
850,Kevin Walker,2020-10-15,47,"(0, '')",1,South Los Angeles,"(33.9382997, -118.2940063)",SH2518988
851,Adrian Ines,2020-10-16,25,"(1, 'Gun')",1,Century,"(33.9214169, -118.2319306)",SH2519110
852,Justin San Juan,2020-10-17,26,"(1, 'Gun')",0,Lancaster,"(34.6912124, -118.191852)",SH2519113
853,Bryan Cendejas,2020-10-28,18,"(1, 'Gun')",0,Norwalk,"(33.9170356, -118.0817528)",SH2520252
854,Raymond Johnson,2020-11-15,56,"(1, 'Gun')",1,South Los Angeles,"(33.9350462, -118.317779)",SH2520874
855,Ryan Goff,2020-12-06,28,"(0, '')",1,Industry,"(33.9840992, -117.903909)",SH2521959
856,Kevin Honea,2020-12-19,32,"(1, 'Gun')",1,South Los Angeles,"(33.9415994, -118.3534859)",SH2522837
857,Raul Reyes,2021-01-10,48,"(0, '')",1,Altadena,"(34.1873365, -118.1599916)",21-00071-07
858,Juan Bendezu,2021-02-12,34,"(0, '')",2,Norwalk,"(33.8982818, -118.0885033)",21-01842-04
859,Remin Pineda,2021-03-14,34,"(1, 'Knife')",1,East Los Angeles,"(34.0362855, -118.1868678)",21-03539-02
860,David Vega,2021-03-31,25,"(0, '')",2,East Los Angeles,"(33.9665541, -118.1764699)",21-04312-02
861,Daisy Rosales,2021-04-09,27,"(1, 'Gun')",2,Norwalk,"(33.9237824, -117.9941256)",21-04146-04
862,Erasto Granados,2021-04-23,Unknown,"(1, 'Knives')",2,Century,"(33.9790125, -118.2539605)",21-05414-21
863,Scott Smith,2021-04-29,64,"(1, 'Metal taped together')",1,Lancaster,"(34.596909, -117.8325303)",21-06915-11
864,Jose Nanquil,2021-05-13,21,"(1, 'Gun')",0,Industry - Special Assignment Officers Team,"(34.0336409, -117.934856)",SH2531680
865,Jose Nanquil,2021-05-13,22,"(0, '')",0,Industry - Special Assignment Officers Team,"(34.0336409, -117.934856)",SH2531680
866,Francisco “Frank” Gamez II,2021-06-17,38,"(0, '')",1,West Hollywood - off duty,"(34.2952224, -118.4473188)",Unknown
867,Jackie Rojas,2021-06-23,28,"(1, 'Butane lighter')",1,Norwalk,"(33.8875641, -118.105908)",21-06937-04
868,Kenneth Borbon,2021-08-11,34,"(0, '')",1,Santa Clarita,"(34.5874888, -118.715368)",21-10950-06
869,Unknown,2021-08-26,28,"(1, 'Baseball hat')",2,Operation Safe Streets Bureau,"(34.0190131, -118.217366)",21-11523-02
870,Jonathan Cufley,2021-08-30,28,"(1, 'Gun')",0,Century,"(34.0443733, -118.1732017)",SH2538692
871,Jonathan Cufley,2021-08-30,29,"(1, 'Gun')",2,Century,"(34.0443733, -118.1732017)",SH2538692
872,Larry Aguilar,2021-09-11,29,"(0, '')",2,Lancaster,"(34.5722593, -118.1254232)",21-11704-26
873,Jesus Chamorro,2021-09-22,35,"(1, 'Gun')",2,Lancaster,"(34.6893573, -118.1352186)",21-15868-11
874,Trevor Moore,2021-09-23,34,"(1, 'Gun')",1,Lancaster,"(34.8062424, -118.1537784)",21-15897-11
875,Blake Corrigan,2021-09-30,43,"(1, 'Gun')",2,South Los Angeles,"(33.961488, -118.2822176)",21-07807-03
876,Rudy Hernandez,2021-10-03,32,"(1, 'Gun')",1,Santa Clarita,"(34.3721009, -118.570025)",21-13593-06
877,Chase Morales,2021-10-05,35,"(1, 'Gun')",1,Century,"(33.928135, -118.2526927)",21-13354-21
878,Frank Parga,2021-10-10,18,"(1, 'Gun')",1,Pico Rivera,"(34.0003366, -118.0685825)",21-05801-15
879,Yen Liu,2021-10-19,25,"(1, 'Gun')",2,Temple,"(34.052263, -118.090087)",21-10833-05
880,Unknown,2021-10-21,24,"(1, 'Gun')",0,Narcotics Bureau,"(34.0150783, -118.1359752)",SH2542156
881,Jacob Dominguez,2021-11-12,40,"(1, 'Folding knife')",2,East Los Angeles,"(34.0181831, -118.1477657)",21-15192-02
882,Michael Thompson,2021-11-12,32,"(0, '')",2,Santa Clarita,"(34.4401336, -118.2957846)",21-15456-06
883,Jacob Dominguez,2021-11-12,25,"(0, '')",1,East Los Angeles,"(34.0181831, -118.1477657)",21-15192-02
884,Alfonso Valenzuela,2021-11-21,28,"(1, 'Gun')",1,Transit Services Bureau,"(33.9232816, -118.2353998)",21-01549-60
885,Joshua Corrales,2021-12-15,23,"(1, 'Gun')",2,Special Enforcement Bureau,"(33.9190513, -118.0548129)",21-13466-04
886,Aaron Agajanian,2021-12-18,32,"(1, 'Gun')",2,Norwalk,"(33.9467577, -118.1034922)",21-13600-04
887,Jose Ramirez,2021-12-29,26,"(1, 'Gun, Knife')",2,Carson,"(33.8389648, -118.2215746)",21-12504-16
888,Adrian Ines,2022-01-24,29,"(1, 'Gun')",2,Century,"(33.9625604, -118.2279386)",22-01199-21
889,Luis Valle,2022-02-15,40,"(1, 'Knife')",1,Santa Clarita,"(34.3871821, -118.1122679)",22-02322-06
890,Unknown,2022-02-17,29,"(1, 'Gun')",2,Operation Safe Streets Bureau,"(33.9061663, -118.0752209)",22-01832-04
891,Unknown,2022-02-17,67,"(0, '')",1,Operation Safe Streets Bureau,"(33.9061663, -118.0752209)",22-01832-04
892,Sergio Campos,2022-02-23,24,"(0, '')",2,Norwalk,"(33.9204373, -118.0213188)",22-02016-04
893,Sergio Campos,2022-02-23,21,"(0, '')",2,Norwalk,"(33.9204373, -118.0213188)",22-02016-04
894,Sergio Campos,2022-02-23,20,"(1, 'Gun')",2,Norwalk,"(33.9204373, -118.0213188)",22-02016-04
895,Erin Herring,2022-03-03,32,"(1, 'Garden tool')",1,Lakewood,"(33.8746802, -118.1513009)",22-04000-13
896,Chad Melton,2022-03-13,26,"(1, 'Gun')",1,Palmdale,"(34.56709, -118.0064939)",22-03330-26
897,Ernest Magana,2022-04-01,56,"(1, 'Screwdriver')",2,Industry,"(34.0133477, -117.9966299)",22-03580-14
898,Juan Lopez,2022-05-24,33,"(1, 'Gun')",1,Transit Services Bureau,"(34.0277994, -118.1697128)",22-80007-68
899,Danny Soto,2022-06-05,51,"(1, 'Knife, pistol grip crossbow')",1,Lancaster,"(34.6898983, -118.1638779)",22-09621-11
900,Jaime Gallegos,2022-08-16,42,"(1, 'Gun')",2,Compton,"(33.892858, -118.2786981)",22-10756-28
901,Raymond Romero Soto,2022-08-31,41,"(1, 'Machete')",1,Century,"(33.9538791, -118.2430536)",22-13318-21
902,Justin Sabatine,2022-09-02,41,"(1, 'Gun')",1,South Los Angeles,"(33.9382231, -118.3090478)",22-07453-03
903,Michael Alburez,2022-09-05,18,"(1, 'Gun')",2,Lancaster,"(34.6914718, -118.1353548)",22-15398-11
904,Joseph Welch,2022-09-21,67,"(1, 'Airsoft gun')",2,Century,"(33.9294959, -118.2462691)",22-14389-21
905,Adonay Molina,2022-11-03,46,"(1, 'Hatchet')",1,Compton,"(33.8781056, -118.2207252)",22-14323-28
906,Carlos Martinez,2022-11-16,40,"(1, 'Knives')",1,Santa Clarita,"(34.4266018, -118.5588922)",22-16247-06
907,Ernesto Valencia,2022-11-26,25,"(1, 'Wrench')",2,San Dimas,"(34.0958872, -117.9253911)",22-05647-08
908,Robert Maas,2022-12-21,24,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.7043052, -118.0859635)",22-21667-11
909,Erving Francois,2022-12-22,61,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.9001107, -118.3091591)",22-00116-31
910,Adam Carreon,2023-01-08,44,"(1, 'Knife')",1,Palmdale,"(34.6029407, -118.385921)",023-00373-2654-013
911,Lorena Gonzalez,2023-01-11,50,"(0, '')",1,Santa Clarita,"(34.4127462, -118.5547791)",023-00463-0608-013
